Date,Open,High,Low,Close,Volume,vwap
20200102,296.24,300.6,295.19,300.35,33911864,298.4396
20200103,297.15,300.58,296.5,297.43,36633878,298.8104
20200106,293.79,299.96,292.75,299.8,29644644,297.7996
20200107,299.84,300.9,297.48,298.39,27877655,298.9243
20200108,297.16,304.4399,297.156,303.19,33090946,301.1655
20200109,307.235,310.43,306.2,309.63,42621542,308.6439
20200110,310.6,312.67,308.25,310.33,35217272,310.6915
20200113,311.64,317.07,311.15,316.96,30521722,313.6822
20200114,316.7,317.57,312.17,312.68,40653457,314.7685
20200115,311.85,315.5,309.55,311.34,30480882,312.9837
20200116,313.59,315.7,312.09,315.24,27207254,314.1686
20200117,316.27,318.74,315.0,318.73,34454117,316.9542
20200121,317.19,319.02,316.0,316.57,27710814,317.3452
20200122,318.58,319.99,317.31,317.7,25458115,318.4869
20200123,317.92,319.56,315.65,319.23,26117993,318.2094
20200124,320.25,323.33,317.5188,318.31,36634380,320.4076
20200127,310.06,311.77,304.88,308.95,40485005,309.6946
20200128,312.6,318.4,312.19,317.69,40558486,317.0616
20200129,324.45,327.85,321.38,324.34,54149928,325.46
20200130,320.5435,324.09,318.75,323.87,31685808,321.6756
20200131,320.93,322.68,308.29,309.51,49897096,314.0155
20200203,304.3,313.49,302.22,308.66,43496401,309.0951
20200204,315.31,319.64,313.6345,318.85,34154134,317.4663
20200205,323.52,324.76,318.95,321.45,29706718,321.4901
20200206,322.57,325.22,320.2648,325.21,26356385,323.31
20200207,322.37,323.4,318.0,320.03,29421012,321.0217
20200210,314.18,321.55,313.85,321.55,27337215,319.1714
20200211,323.6,323.9,318.71,319.61,23580780,321.3882
20200212,321.47,327.22,321.47,327.2,28432573,324.7989
20200213,324.19,326.22,323.35,324.87,23686892,324.9985
20200214,324.74,325.98,322.85,324.95,20028447,324.6274
20200218,315.36,319.75,314.61,319.0,38190545,317.3547
20200219,320.0,324.57,320.0,323.62,23495991,323.1885
20200220,322.63,324.65,318.21,320.3,25141489,321.127
20200221,318.62,320.45,310.5,313.05,32426415,314.5362
20200224,297.26,304.18,289.23,298.18,55548828,299.4795
20200225,300.95,302.53,286.13,288.08,57668364,293.2211
20200226,286.53,297.88,286.5,292.65,49678431,292.8947
20200227,281.1,286.0,272.96,273.52,80151381,279.787
20200228,257.26,278.41,256.37,273.36,106721230,267.0277
20200302,282.28,301.44,277.72,298.81,85349339,288.6754
20200303,303.67,304.0,285.8,289.32,79868852,294.4429
20200304,296.44,303.4,293.13,302.74,54794568,298.2337
20200305,295.52,299.55,291.41,292.92,46893219,295.2967
20200306,282.0,290.82,281.23,289.03,56544246,285.7859
20200309,263.75,278.09,263.0,266.17,71686208,271.5992
20200310,277.14,286.44,269.37,285.34,71322520,277.8568
20200311,277.39,281.22,271.86,275.43,64094970,276.4143
20200312,255.94,270.0,248.0,248.23,104618517,255.3087
20200313,264.89,279.92,252.95,277.97,92683032,262.9381
20200316,241.95,259.08,240.0,242.21,80605865,250.4676
20200317,247.51,257.61,238.4,252.86,81013965,249.9376
20200318,239.77,250.0,237.12,246.67,75058406,243.168
20200319,247.385,252.84,242.61,244.78,67964255,247.6004
20200320,247.18,251.83,228.0,229.24,100423346,240.8503
20200323,228.08,228.4997,212.61,224.37,84188208,221.407
20200324,236.36,247.69,234.3,246.88,71882773,241.3237
20200325,250.75,258.25,244.3,245.52,75900510,251.7238
20200326,246.52,258.68,246.36,258.44,63140169,252.776
20200327,252.75,255.87,247.05,247.74,51054153,250.8124
20200330,250.74,255.52,249.4,254.81,41994110,252.6851
20200331,255.6,262.49,252.0,254.29,49250501,256.4316
20200401,246.5,248.72,239.13,240.91,44054638,243.91
20200402,240.34,245.15,236.9,244.93,41483493,241.5781
20200403,242.8,245.7,238.9741,241.41,32470017,241.806
20200406,250.9,263.11,249.38,262.47,50455071,256.1566
20200407,270.8,271.7,259.0,259.43,50721831,264.5652
20200408,262.74,267.37,261.23,266.07,42223821,264.7573
20200409,268.7,270.07,264.7,267.99,40529123,267.2295
20200413,268.31,273.7,265.83,273.25,32755731,269.4455
20200414,280.0,288.25,278.05,287.05,48748672,285.1456
20200415,282.4,286.33,280.63,284.43,32788641,283.7053
20200416,287.38,288.1975,282.3502,286.69,39281290,285.7855
20200417,284.69,286.945,276.86,282.8,53812478,281.6161
20200420,277.95,281.68,276.85,276.93,32503750,279.0118
20200421,276.28,277.25,265.43,268.37,45247893,269.7373
20200422,273.61,277.9,272.2,276.1,29264342,275.0171
20200423,275.87,281.75,274.87,275.03,31203582,277.8822
20200424,277.2,283.01,277.0,282.97,31627183,280.3857
20200427,281.8,284.54,279.95,283.17,29271893,282.3533
20200428,285.08,285.83,278.2,278.58,28001187,281.6238
20200429,284.73,289.67,283.89,287.73,34320204,287.4046
20200430,289.96,294.53,288.35,293.8,45765968,291.6755
20200501,286.25,299.0,285.85,289.07,60154175,292.5924
20200504,289.17,293.69,286.3172,293.16,33391986,290.5541
20200505,295.06,301.0,294.46,297.56,36937795,298.5537
20200506,300.46,303.24,298.87,300.63,35583438,301.754
20200507,303.22,305.17,301.97,303.74,28803764,303.7164
20200508,305.64,310.35,304.29,310.13,33511985,307.7902
20200511,308.1,317.05,307.24,315.01,36486561,313.0139
20200512,317.83,319.688,310.91,311.41,40575263,316.2801
20200513,312.15,315.95,303.21,307.65,50155639,308.9682
20200514,304.51,309.79,301.53,309.54,39732269,305.5977
20200515,300.35,307.9,300.21,307.71,41587094,304.8328
20200518,313.17,316.5,310.3241,314.96,33843125,314.096
20200519,315.03,318.52,313.01,313.14,25432385,316.3479
20200520,316.68,319.52,316.2,319.23,27876215,318.4911
20200521,318.66,320.89,315.87,316.85,25672211,318.1412
20200522,315.77,319.23,315.35,318.89,20450754,317.5581
20200526,323.5,324.24,316.5,316.73,31380454,319.5619
20200527,316.14,318.71,313.09,318.11,28236274,316.1593
20200528,316.77,323.44,315.63,318.25,33449103,320.3577
20200529,319.25,321.15,316.47,317.94,38399532,318.7083
20200601,317.75,322.35,317.21,321.85,20254653,320.8498
20200602,320.745,323.44,318.93,323.34,21910704,321.5202
20200603,324.66,326.2,322.3,325.12,26122804,324.336
20200604,324.39,325.62,320.78,322.32,21890091,323.331
20200605,323.35,331.75,323.23,331.5,34312550,329.1144
20200608,330.25,333.6,327.32,333.46,23913634,331.0646
20200609,332.14,345.61,332.01,343.99,36928091,341.4537
20200610,347.9,354.77,346.09,352.84,41662938,351.4944
20200611,349.31,351.06,335.48,335.9,50415613,343.0966
20200612,344.72,347.8,334.2233,338.8,50036513,340.0528
20200615,333.25,345.68,332.58,342.99,34702230,339.5126
20200616,351.46,353.2,344.72,352.08,41357182,350.8725
20200617,355.15,355.4,351.09,351.59,28601626,353.7127
20200618,351.41,353.45,349.22,351.73,24205096,351.5646
20200619,354.635,356.56,345.15,349.72,66118952,350.463
20200622,351.34,359.46,351.15,358.87,33861316,356.5776
20200623,364.0,372.38,362.2701,366.53,53038869,367.6982
20200624,365.0,368.79,358.52,360.06,48155849,362.2963
20200625,360.7,365.0,357.57,364.84,34380628,361.8857
20200626,364.41,365.32,353.02,353.63,51314211,357.2832
