Date,Open,High,Low,Close,Volume,vwap
20200102,238.75,239.91,236.72,239.91,5941969,238.7233
20200103,235.1,237.83,234.1,236.07,5144308,236.3844
20200106,232.32,237.27,231.27,237.06,6572812,235.4688
20200107,238.2,241.77,236.39,239.93,7980144,239.8552
20200108,239.76,242.04,238.149,240.38,6931017,240.3131
20200109,243.85,245.9297,240.855,243.02,6386053,243.6003
20200110,247.33,248.55,243.75,244.32,7911560,246.1316
20200113,247.66,252.9884,246.75,251.98,8008451,250.6895
20200114,250.26,251.28,246.75,247.28,8989483,248.4449
20200115,247.79,248.6891,244.53,245.57,6577636,246.2276
20200116,247.72,249.17,246.775,248.93,7104791,248.01
20200117,249.7,250.0,247.37,249.28,6344764,248.7899
20200121,247.805,249.29,246.5703,247.94,5447925,248.0897
20200122,249.76,253.59,249.0,250.05,5980967,251.3892
20200123,251.72,253.2,248.15,252.86,6112861,251.4008
20200124,257.5,259.5,248.3,250.48,9337839,253.0774
20200127,238.24,242.25,232.23,240.2,11763354,239.6577
20200128,242.85,249.27,240.7143,247.97,7774401,245.814
20200129,247.39,248.84,243.94,245.54,6486279,246.0008
20200130,241.61,246.35,239.4,245.81,7262590,243.1544
20200131,243.97,244.45,234.75,236.43,9260493,238.1035
20200203,235.7,241.1111,235.45,240.33,6398205,239.6605
20200204,246.03,247.9,244.02,247.13,6788589,246.2111
20200205,251.99,252.4,247.41,250.76,5205502,250.1009
20200206,252.14,254.25,248.88,254.245,5457051,252.2671
20200207,252.64,253.53,250.572,251.59,4743803,251.9456
20200210,252.5,263.0,252.3,262.97,13240194,259.5851
20200211,267.32,272.5,264.83,267.89,15963922,269.2045
20200212,270.01,272.8,268.4474,272.54,9366118,271.1223
20200213,270.21,273.48,269.11,270.78,13200384,274.7339
20200214,287.26,294.97,286.0,289.79,26048093,290.1821
20200218,285.6435,297.31,284.86,296.57,15547025,292.3801
20200219,301.49,315.41,301.4856,314.7,17358281,310.3252
20200220,312.765,316.32,296.35,308.7,20251259,308.5256
20200221,304.19,305.2,290.66,294.07,19232331,296.4056
20200224,270.19,281.8723,268.0,273.28,21422873,275.8497
20200225,276.3035,278.79,257.96,262.05,26387442,264.5436
20200226,262.06,275.45,262.0,267.65,18741536,269.5257
20200227,254.9,267.0,248.89,252.6,22660373,257.729
20200228,242.455,272.46,241.79,270.07,28366882,259.6432
20200302,276.9,277.59,261.0,276.43,22268639,270.852
20200303,278.6665,281.07,262.4601,265.89,16319828,271.3941
20200304,270.2,284.89,267.2,284.51,14935184,276.8658
20200305,276.5,283.2,271.5,273.29,13508187,276.1915
20200306,266.08,268.39,258.0,266.04,12885307,263.2446
20200309,239.9,259.4,238.18,245.44,15353960,249.3176
20200310,256.54,261.08,245.99,261.08,14516218,254.7139
20200311,255.455,256.6,242.57,246.47,12551693,249.9557
20200312,225.46,236.119,215.8,216.31,20413535,225.014
20200313,230.5,241.02,219.61,240.84,15870943,229.0007
20200316,212.41,226.1,194.0,196.4,18174303,211.5658
20200317,200.91,220.86,191.0,217.27,20840799,209.8878
20200318,200.095,209.94,180.6807,202.82,21856657,196.1779
20200319,201.96,216.73,193.39,212.97,19137847,207.9798
20200320,219.0,230.32,205.13,205.75,20115854,217.7276
20200323,205.71,216.48,198.52,212.69,16096866,208.9589
20200324,229.0,252.66,228.05,249.18,27541095,244.8338
20200325,253.8,261.82,243.66,245.62,19835767,254.0121
20200326,253.94,262.22,250.0,257.24,17439692,256.0192
20200327,250.0,263.1177,248.68,252.73,15970744,255.3223
20200330,255.36,265.96,253.59,265.59,15056253,262.2179
20200331,267.2,275.3999,257.75,263.6,23749014,266.5319
20200401,255.65,261.53,241.28,243.07,16422828,251.3452
20200402,244.24,256.0,242.31,255.47,16894113,250.2922
20200403,253.96,255.63,238.39,243.91,16580346,244.6073
20200406,255.24,269.88,252.93,268.4,18197062,262.3424
20200407,277.3,278.25,257.3,259.03,19613047,265.9071
20200408,263.41,267.95,260.6,266.95,13561113,265.1624
20200409,272.0,272.92,260.42,262.95,13156195,264.9501
20200413,260.55,270.2,257.0,269.85,9960182,265.1068
20200414,275.0,285.32,273.8893,283.95,13273667,281.5455
20200415,277.2,284.1671,275.38,280.84,9153721,280.0865
20200416,287.08,299.0,286.55,294.7,18640510,293.2048
20200417,298.0,298.86,286.94,292.32,13478049,292.0695
20200420,287.24,293.5,285.27,287.05,11234705,289.3727
20200421,282.31,284.77,267.11,269.51,18378996,273.2862
20200422,277.23,287.87,275.4,286.15,12118228,283.4398
20200423,287.84,293.1375,283.0,284.01,10603988,287.9546
20200424,283.6,289.67,280.6,289.59,8816137,286.1445
20200427,294.99,303.5,294.0,297.08,11984699,298.5516
20200428,303.0,304.2,291.14,291.36,11072603,295.9478
20200429,296.77,300.58,293.75,298.46,9479047,298.0337
20200430,296.2926,298.46,291.72,292.28,9397943,294.0505
20200501,284.35,288.9,280.8432,282.78,8552445,283.8562
20200504,280.88,291.84,280.88,291.285,7938880,288.2007
20200505,295.47,300.27,291.29,293.74,9222391,295.9916
20200506,296.93,302.0,295.41,297.79,8086639,299.3654
20200507,303.38,307.41,301.323,304.87,9343263,304.7399
20200508,307.75,312.75,306.39,312.5,8497678,310.8205
20200511,312.3,324.5,311.15,322.62,11726504,320.8593
20200512,324.94,326.9,311.71,312.1,12326482,320.644
20200513,316.7,323.14,303.79,311.2,15646252,313.4824
20200514,313.665,321.44,307.5,321.22,15057809,314.3862
20200515,315.59,340.02,314.96,339.63,24691543,327.4462
20200518,350.42,356.66,347.2201,350.01,19410086,351.1018
20200519,351.61,363.5,350.51,352.22,17933049,358.7753
20200520,359.64,361.72,355.55,358.8,14688405,358.3068
20200521,362.06,362.0962,349.5,351.01,19026741,354.3869
20200522,353.01,363.72,348.53,361.05,25969125,359.4045
20200526,366.27,367.27,346.88,348.71,19269476,354.1839
20200527,345.0,345.31,319.87,341.01,29397306,332.8349
20200528,336.49,350.42,335.17,339.48,18403204,345.1348
20200529,342.18,355.02,339.4,355.02,18647994,347.2324
20200601,353.33,353.63,347.58,352.25,9762775,350.9868
20200602,351.85,353.49,346.32,353.01,9783014,350.0221
20200603,352.89,354.65,348.0,350.78,9135972,350.8081
20200604,349.12,357.73,347.1,350.66,10606960,352.0133
20200605,351.78,359.88,348.3192,356.8,12043651,355.4191
20200608,355.09,355.585,347.43,352.2,9693431,350.519
20200609,352.0,364.3899,350.05,361.84,11712221,360.3584
20200610,366.71,380.0,366.14,374.67,15804537,375.1418
20200611,366.0,370.45,351.44,351.85,14591256,360.7177
20200612,366.5,367.49,348.1338,357.3,14272704,357.8194
20200615,352.61,367.29,349.75,366.95,10000054,361.4002
20200616,369.0,370.67,353.5501,362.74,13392875,361.8191
20200617,364.55,371.96,362.81,369.44,10207641,367.8436
20200618,369.08,371.3,364.58,368.72,6360238,367.6401
20200619,369.7,377.8,369.0935,370.45,13104013,372.867
20200622,372.0,381.25,370.932,381.07,9961662,377.8536
20200623,382.04,385.7,376.3,378.0,9377685,381.3402
20200624,379.05,382.2552,365.7802,369.42,11234272,372.6432
20200625,374.23,380.2,367.29,379.6,9401800,374.3961
