Date,Open,High,Low,Close,Volume,vwap
20200102,214.4,216.16,213.98,216.16,31014904,214.6001
20200103,213.29,215.47,213.28,214.18,27532657,214.6233
20200106,212.49,215.59,212.24,215.56,21726989,214.4454
20200107,215.64,216.14,214.85,215.53,23120994,215.4838
20200108,215.47,218.14,215.16,217.15,26464212,216.8205
20200109,218.91,219.41,217.7125,218.99,23641291,218.7347
20200110,219.76,219.87,218.04,218.43,21914631,219.0741
20200113,219.31,220.98,218.98,220.95,22846102,220.2711
20200114,220.75,221.21,219.74,220.08,24573340,220.4093
20200115,220.18,221.2,219.45,220.17,25742084,220.4296
20200116,221.24,222.32,220.8,222.28,18804959,221.5799
20200117,223.24,223.56,222.1221,223.38,24325167,222.8698
20200121,222.73,223.84,222.66,223.28,21146264,223.2145
20200122,224.38,225.15,223.59,223.87,20736403,224.3497
20200123,223.71,224.69,222.7,224.59,26496113,223.8708
20200124,225.62,225.88,221.6701,222.7,37436483,223.5396
20200127,217.72,219.2845,217.18,218.1,42264418,218.4226
20200128,219.6,221.96,219.06,221.45,26731876,220.7899
20200129,222.66,222.93,220.83,221.81,29063128,221.9257
20200130,220.37,222.7,219.6891,222.6,39568093,221.3055
20200131,223.5,223.56,218.285,219.07,52015832,220.2623
20200203,220.14,222.885,219.99,222.38,25468307,222.0519
20200204,225.39,227.86,224.6523,227.47,30691211,226.4205
20200205,230.22,230.25,226.85,228.22,38534817,228.2067
20200206,228.77,230.25,227.98,230.19,22467077,229.4451
20200207,229.16,230.44,228.54,229.2,25884933,229.3597
20200210,228.43,231.98,228.38,231.97,21478925,230.4178
20200211,233.21,234.02,231.3999,232.01,30197983,232.7284
20200212,233.34,234.38,232.8,234.27,24471275,233.5944
20200213,232.62,234.93,232.36,233.97,22773159,233.8937
20200214,234.28,234.86,233.5501,234.64,23438530,234.2237
20200218,233.47,235.17,233.25,234.73,24521242,234.2808
20200219,236.07,237.47,235.85,236.98,22230464,236.8598
20200220,236.46,236.95,231.88,234.78,42604016,234.4543
20200221,233.64,234.01,229.3211,230.27,66058611,231.3709
20200224,221.84,224.25,220.26,221.39,84522551,223.1293
20200225,223.19,223.9879,214.74,215.37,97742982,218.4127
20200226,216.67,220.28,214.9,216.48,80400053,217.4337
20200227,211.05,216.4235,205.5,205.64,121822562,210.4319
20200228,198.92,207.17,198.17,205.8,149247073,202.6443
20200302,208.88,216.57,205.94,216.42,112933945,210.386
20200303,217.11,219.61,207.62,209.48,131953546,213.5038
20200304,213.32,218.33,211.37,218.22,73086209,214.3945
20200305,212.69,216.36,210.1,211.59,78705458,212.9561
20200306,204.67,209.15,202.91,208.02,89828392,206.2001
20200309,193.48,201.16,192.11,193.57,116423986,197.0502
20200310,201.11,204.3,193.6802,204.11,100599233,198.9517
20200311,199.35,200.75,192.73,195.22,89168783,197.0447
20200312,182.09,190.78,176.94,177.32,137832298,182.4407
20200313,187.07,194.48,178.13,192.34,134881981,184.4157
20200316,174.15,184.68,169.16,169.3,92054386,178.4775
20200317,175.47,184.39,169.78,182.14,121257108,178.5459
20200318,171.605,179.22,166.8,176.6,114156320,173.0383
20200319,175.69,183.49,171.63,177.66,120896481,178.8948
20200320,181.74,182.87,170.1,170.7,118983891,176.644
20200323,170.92,174.21,164.93,170.46,124639782,169.7504
20200324,179.91,183.83,177.95,183.66,94881785,180.376
20200325,184.42,189.51,179.98,182.3,88754909,184.6998
20200326,183.87,192.72,183.61,191.9,79887564,187.7434
20200327,186.93,190.5149,184.66,185.3,58844975,186.9746
20200330,187.1,192.49,186.3406,192.04,49356936,190.0668
20200331,191.53,195.25,189.2,190.4,62659265,191.9258
20200401,184.81,187.66,180.86,182.31,53715375,184.444
20200402,181.59,190.1,180.97,186.01,56465348,184.0707
20200403,185.5,187.0716,181.29,183.37,47487621,183.8843
20200406,190.38,197.65,189.19,196.48,64763518,192.7839
20200407,202.14,202.66,196.0,196.4,69904478,199.0261
20200408,198.0835,201.17,196.1733,200.57,45940439,199.0478
20200409,202.27,203.22,199.0281,200.86,68323929,200.8008
20200413,199.92,203.42,198.75,203.03,42853948,200.8435
20200414,207.17,212.5,206.42,211.86,63959563,209.7386
20200415,208.48,211.8338,207.12,209.43,47035953,209.2657
20200416,211.78,214.369,209.69,213.25,64657362,212.1385
20200417,215.96,216.51,212.0801,215.29,62863223,214.2542
20200420,213.27,215.88,212.57,212.74,38249128,214.1866
20200421,210.63,211.16,203.63,204.89,72932771,206.4918
20200422,209.14,212.35,208.33,210.97,40188772,210.0624
20200423,211.8,214.435,210.095,210.52,43278542,212.2121
20200424,210.94,214.3,209.5,213.84,34303365,211.8963
20200427,216.18,216.63,214.5,215.56,36451698,215.5669
