Date,Open,High,Low,Close,Volume,vwap
20200102,323.54,324.89,322.53,324.87,59253833,323.71
20200103,321.16,323.64,321.1,322.41,77783121,322.7917
20200106,320.49,323.73,320.36,323.64,55761948,322.7235
20200107,323.02,323.54,322.24,322.73,42874811,322.7119
20200108,322.94,325.78,322.67,324.45,68434153,324.3319
20200109,326.16,326.73,325.52,326.65,48569601,326.0935
20200110,327.2899,327.46,325.2,325.71,53057389,326.4076
20200113,326.39,327.96,325.92,327.95,47262010,327.2701
20200114,327.47,328.62,326.844,327.45,63036384,327.5992
20200115,327.35,329.02,327.26,328.19,72056598,328.1448
20200116,329.7,330.92,329.45,330.92,54050328,330.0926
20200117,331.7,332.18,330.8539,331.95,95846017,331.6016
20200121,330.9,332.18,330.82,331.3,77742415,331.5167
20200122,332.24,332.95,331.17,331.34,48914899,331.9018
20200123,330.63,332.1682,329.41,331.72,51962994,330.9696
20200124,332.44,332.53,327.36,328.77,87578442,329.5811
20200127,323.03,325.12,322.66,323.5,84062463,324.1433
20200128,325.06,327.85,323.6038,326.89,63833953,326.5426
20200129,328.38,328.63,326.4,326.62,54040889,327.3393
20200130,324.36,327.91,323.54,327.68,75491844,325.5894
20200131,327.0,327.17,320.73,321.73,113845576,323.0101
20200203,323.35,326.16,323.22,324.12,69242293,324.397
20200204,328.07,330.01,327.72,329.06,62573190,328.6128
20200205,332.27,333.09,330.67,332.86,65951146,332.0018
20200206,333.91,334.19,332.8,333.98,50359688,333.6273
20200207,332.82,333.9941,331.6,332.2,64139443,332.6768
20200210,331.23,334.75,331.19,334.68,42070006,333.479
20200211,336.16,337.02,334.684,335.26,54864533,335.7539
20200212,336.83,337.65,336.43,337.42,43992662,336.9522
20200213,335.8621,338.12,335.56,337.06,54501922,337.053
20200214,337.51,337.73,336.2,337.6,64582210,337.1495
20200218,336.51,337.6677,335.21,336.73,57342526,336.5561
20200219,337.79,339.08,337.48,338.34,48814692,338.2572
20200220,337.7423,338.64,333.6817,336.95,74163362,336.3779
20200221,335.47,335.81,332.58,333.48,113788208,334.0839
20200224,323.14,333.5623,321.24,322.42,161088409,324.3159
20200225,323.94,324.61,311.69,312.65,218913168,316.4939
20200226,314.18,318.11,310.7,311.5,194773819,313.6087
20200227,305.46,311.5637,297.51,297.51,284353459,304.2907
20200228,288.7,297.892,285.54,296.26,385764020,292.2695
20200302,298.21,309.16,294.46,309.09,238703625,301.4408
20200303,309.5,313.84,297.57,300.24,300139149,304.5851
20200304,306.12,313.1,303.33,312.86,176613448,307.9939
20200305,304.98,308.47,300.01,302.46,186366809,304.4294
20200306,293.15,298.78,290.23,297.46,228667168,295.2495
20200309,275.3,284.19,273.45,274.23,309417349,280.3188
20200310,284.64,288.52,273.5,288.42,276444058,281.1313
20200311,280.7,281.94,270.88,274.36,256416563,277.6169
20200312,256.0,266.66,247.68,248.11,392220669,255.6962
20200313,263.09,271.4754,248.5237,269.32,329566100,258.7204
20200316,241.18,256.9,237.36,239.85,297240027,248.7731
20200317,245.04,256.17,237.07,252.8,262070471,247.7512
20200318,236.25,248.37,228.02,240.0,327597131,237.8352
20200319,239.25,247.38,232.22,240.51,289322037,241.3504
20200320,242.53,244.47,228.5,228.8,347158794,236.7579
20200323,228.19,229.6833,218.26,222.95,326025169,224.6756
20200324,234.42,244.1,233.8,243.15,235494475,237.7421
20200325,244.87,256.35,239.75,246.79,299430255,247.9267
20200326,249.52,262.8,249.05,261.2,257632816,255.7722
20200327,253.27,260.81,251.05,253.42,224341217,255.3644
20200330,255.7,262.43,253.53,261.65,170961866,258.8395
20200331,260.56,263.33,256.22,257.75,194881060,259.7951
20200401,247.98,257.6591,243.9,246.15,189554623,249.6291
20200402,245.19,252.68,244.59,251.83,177660430,249.2387
20200403,250.76,253.32,245.22,248.19,135561171,248.5634
20200406,257.84,267.0,248.1698,264.86,188061238,260.775
20200407,274.21,275.03,264.89,265.13,201427189,269.6202
20200408,267.96,276.0,265.2542,274.03,153774487,271.0515
20200409,277.58,281.2,275.47,278.2,190282705,278.249
20200413,277.14,277.51,271.41,275.66,114839053,274.5133
20200414,280.98,284.9,275.5106,283.79,134143350,282.0896
20200415,277.57,283.9407,275.46,277.76,121775006,277.826
20200416,279.15,280.03,275.76,279.1,131798325,278.8491
20200417,285.38,287.3,282.4,286.64,146684784,284.3087
20200420,282.61,286.7912,281.35,281.59,100109285,283.7312
20200421,276.73,278.04,272.02,273.04,126385698,274.7553
20200422,278.35,281.0,276.91,279.1,93524584,278.4825
20200423,280.49,283.94,278.75,279.08,104709693,280.9666
20200424,280.73,283.7,278.5,282.97,85165953,281.0323
20200427,285.12,288.27,284.62,287.05,77896608,286.5226
20200428,291.02,291.4,285.4,285.73,105269985,287.7595
20200429,291.53,294.88,290.41,293.21,118745579,292.6984
20200430,291.71,293.3239,288.59,290.48,122901701,290.585
20200501,285.31,290.6572,281.52,282.79,125180028,284.0928
20200504,280.74,283.9,279.13,283.57,80873213,281.7654
20200505,286.64,289.25,283.7134,286.19,79569938,287.4002
20200506,288.04,288.46,283.78,284.25,73632628,286.096
20200507,287.75,289.78,287.13,287.68,75250412,287.99
20200508,291.09,292.95,289.86,292.44,76622128,291.4628
20200511,290.34,294.0,289.88,292.5,79514231,292.2782
20200512,293.79,294.24,286.52,286.67,95870786,290.1723
20200513,286.06,287.19,278.965,281.6,144721099,282.5924
20200514,278.95,285.11,272.99,284.97,121977890,281.0078
20200515,282.37,286.33,281.34,286.28,111146276,284.4268
20200518,293.05,296.75,292.7,295.0,120320229,293.8681
20200519,294.35,296.205,291.95,291.97,95189316,294.2846
20200520,295.82,297.87,295.57,296.93,85861691,296.6725
20200521,296.79,297.67,293.6886,294.88,78293925,295.502
20200522,294.57,295.63,293.22,295.44,63958200,294.6091
20200526,301.93,302.19,295.4646,299.08,88951442,299.8579
20200527,302.12,303.57,296.87,303.53,104817449,300.7394
20200528,304.65,306.84,302.24,302.97,90767807,304.5344
20200529,302.46,304.96,299.47,304.32,119265702,302.7537
20200601,303.62,306.205,303.06,305.55,56779836,305.0379
20200602,306.55,308.13,305.1,308.08,74267162,306.6794
20200603,310.24,313.22,309.94,312.18,92567574,311.4892
20200604,311.11,313.0,309.08,311.36,75794363,311.2723
20200605,317.23,321.275,317.16,319.34,150524674,318.1729
20200608,320.22,323.41,319.63,323.2,73641217,321.4367
20200609,320.3,323.2849,319.36,320.79,77479228,321.1873
20200610,321.42,322.39,318.2209,319.0,95000766,320.1152
20200611,311.46,312.15,300.01,300.61,209243560,305.7733
20200612,308.24,309.08,298.6,304.21,194678879,303.4229
20200615,298.02,308.28,296.74,307.05,135782724,303.8577
20200616,315.48,315.64,307.67,312.96,137627502,312.5904
20200617,314.07,314.39,310.86,311.66,83398944,312.6346
20200618,310.005,312.3,309.51,311.78,80828658,311.2099
20200619,314.17,314.38,306.53,308.64,135549624,310.3333
20200622,307.99,311.05,306.75,310.62,74649389,309.5693
20200623,313.49,314.5,311.6101,312.05,68471246,312.8615
20200624,309.84,310.51,302.1,304.09,132813492,305.1795
20200625,303.47,307.64,301.28,307.35,89467968,304.669
20200626,306.16,306.39,299.42,300.05,127961017,302.0022
20200629,301.41,304.61,298.93,304.46,79773260,302.4304
20200630,303.99,310.2,303.82,308.36,113394772,307.4625
20200701,309.57,311.89,309.07,310.52,72396542,310.4871
20200702,314.24,315.7,311.51,312.23,69344217,313.3157
20200706,316.37,317.68,315.56,317.05,61713828,316.1693
20200707,315.38,317.52,313.37,313.78,82909963,315.437
20200708,314.61,316.3,312.7,316.18,54638596,314.8927
20200709,316.84,317.1,310.68,314.38,83354158,313.9593
20200710,314.31,317.88,312.76,317.59,57550365,315.8034
20200713,320.13,322.71,314.13,314.84,102997484,318.5438
20200714,313.3,319.76,312.0,318.92,93656951,316.2404
20200715,322.41,323.04,319.265,321.85,87196524,321.3834
20200716,319.79,321.28,319.09,320.79,54622520,320.1577
20200717,321.88,322.57,319.735,321.72,62774911,321.536
20200720,321.43,325.13,320.62,324.32,56308849,323.156
20200721,326.45,326.93,323.94,325.01,57498967,325.6228
20200722,324.62,327.2,324.5,326.86,57792915,325.8731
20200723,326.47,327.23,321.48,322.96,75737989,324.3379
20200724,320.95,321.99,319.246,320.88,73766597,320.9048
20200727,321.63,323.41,320.775,323.22,48292970,322.3833
20200728,322.43,323.64,320.85,321.17,57494979,322.4446
20200729,322.12,325.73,322.075,325.12,48454159,323.9373
20200730,321.9,324.41,319.64,323.96,61861714,322.8451
20200731,325.9,326.63,321.33,326.52,85210755,324.4946
20200803,328.32,329.62,327.73,328.79,53077948,328.6592
20200804,327.86,330.06,327.86,330.06,41917893,329.0576
20200805,331.47,332.39,331.18,332.11,42866354,331.7917
20200806,331.4799,334.46,331.13,334.33,43679447,332.941
20200807,333.28,334.88,332.3,334.57,57308270,333.8
20200810,335.06,335.77,332.955,335.57,44282089,334.984
20200811,336.85,337.54,332.01,332.8,69601087,335.2122
20200812,335.44,338.28,332.8377,337.44,53826128,336.7378
20200813,336.61,338.2514,335.83,336.83,41816146,337.2083
20200814,336.41,337.42,335.62,336.84,47260390,336.6682
20200817,337.94,338.34,336.8517,337.91,35480974,337.8475
20200818,338.34,339.1,336.61,338.64,38733908,338.3225
20200819,339.05,339.61,336.62,337.23,68054244,338.2078
20200820,335.36,338.8,335.22,338.28,42207826,337.4831
20200821,337.92,339.72,337.55,339.48,55106628,338.7731
20200824,342.12,343.0,339.4504,342.92,48588662,341.9357
20200825,343.53,344.21,342.27,344.12,38463381,343.3938
20200826,344.76,347.86,344.17,347.57,50790237,346.434
20200827,348.51,349.9,346.53,348.33,58034142,348.5813
20200828,349.44,350.72,348.15,350.58,48588940,349.5195
20200831,350.35,351.3,349.06,349.31,66099183,350.2568
20200901,350.21,352.71,349.24,352.6,54999325,351.0867
20200902,354.67,358.75,353.43,357.7,69540035,355.9962
20200903,355.87,356.38,342.59,345.39,148011129,348.1856
20200904,346.13,347.83,334.87,342.57,139156281,341.7446
20200908,336.71,342.64,332.88,333.21,114715322,335.9362
20200909,337.55,342.46,336.61,339.79,91462290,339.3319
20200910,341.82,342.53,332.85,333.89,90569548,337.3768
20200911,335.82,336.97,331.0,334.06,84680194,334.1787
20200914,337.49,340.38,334.2208,338.46,65605686,338.4386
20200915,341.12,342.02,338.4683,340.17,52920862,340.6825
20200916,341.51,343.06,338.52,338.82,82211256,340.5927
20200917,333.56,337.6996,332.991,335.84,91523339,335.4338
20200918,335.37,335.49,327.97,330.65,105877942,332.0495
20200921,325.7,327.13,321.73,326.97,99452029,324.5846
20200922,328.57,330.9,325.86,330.3,63612107,328.5877
20200923,330.9,331.2,322.1,322.64,93112240,325.8669
20200924,321.22,326.797,319.8,323.5,76681332,323.394
20200925,322.58,329.58,321.64,328.73,71074264,326.1757
20200928,333.22,334.96,332.15,334.19,64584614,333.4238
