symbol,date,estimate,report
CVCO,20200130,2.02,2.24
CVCO,20200526,1.88,1.93
CVCO,20200730,1.38,1.97
CVCO,20201029,1.88,1.79
CVCO,20210128,1.82,2.0
CVCO,20210526,1.6,2.83
CVCO,20210805,2.0,2.92
CVCO,20211104,2.75,4.06
CVCO,20220203,3.32,5.34
CVCO,20220526,4.7,6.34
CVCO,20220804,5.35,6.63
CVCO,20221103,5.62,8.25
CVCO,20230202,5.68,6.66
CVCO,20230518,4.99,5.39
CVCO,20230803,5.83,5.29
CVCO,20231102,5.31,4.76
CVCO,20240201,4.37,4.27
CVCO,20240523,4.76,4.03
CVCO,20240801,4.68,4.11
CVCO,20241031,4.85,5.28
CVCO,20250130,4.61,6.9
CVCO,20250522,4.8,5.4
CVCO,20250731,5.31,6.42
IFRX,20200429,-0.56,-0.52
IFRX,20200521,-0.52,-0.32
IFRX,20200730,-0.36,-0.38
IFRX,20201029,-0.33,-0.25
IFRX,20210325,-0.23,-0.32
IFRX,20210512,-0.22,-0.18
IFRX,20210805,-0.21,-0.33
IFRX,20211105,-0.34,-0.27
IFRX,20220324,-0.16,-0.29
IFRX,20220512,-0.34,-0.32
IFRX,20220805,-0.32,0.01
IFRX,20221109,-0.35,-0.18
IFRX,20230322,-0.25,-0.18
IFRX,20230511,-0.27,-0.25
IFRX,20230810,-0.32,-0.14
IFRX,20231101,-0.23,-0.13
IFRX,20240321,-0.19,-0.28
IFRX,20240508,-0.22,-0.17
IFRX,20240808,-0.18,-0.24
IFRX,20241108,-0.25,-0.3
IFRX,20250320,-0.28,-0.08
IFRX,20250507,-0.18,-0.13
SCS,20200324,0.32,0.39
SCS,20200630,-0.14,-0.18
SCS,20200922,0.37,0.55
SCS,20201217,0.03,0.08
SCS,20210323,-0.01,0.06
SCS,20210623,-0.3,-0.24
SCS,20210922,0.23,0.21
SCS,20211216,0.09,0.08
SCS,20220622,-0.18,-0.05
SCS,20220921,0.13,0.21
SCS,20221219,0.18,0.2
SCS,20230322,0.11,0.19
SCS,20230621,0.01,0.09
SCS,20230919,0.2,0.31
SCS,20231219,0.23,0.3
SCS,20240320,0.21,0.23
SCS,20240620,0.1,0.16
SCS,20240918,0.37,0.39
SCS,20241218,0.22,0.3
SCS,20250326,0.21,0.26
SCS,20250625,0.13,0.2
TWST,20200206,-0.83,-1.0
TWST,20200507,-0.75,-0.85
TWST,20200806,-0.88,-0.67
TWST,20201123,-0.71,-0.54
TWST,20210204,-0.77,-0.72
TWST,20210506,-0.78,-0.78
TWST,20210806,-0.75,-0.78
TWST,20211122,-0.8,-0.88
TWST,20220204,-1.06,-0.96
TWST,20220505,-1.3,-1.02
TWST,20220805,-1.31,-1.08
TWST,20221118,-1.13,-1.01
TWST,20230203,-1.17,-0.81
TWST,20230505,-1.1,-1.06
TWST,20230804,-1.06,-1.02
TWST,20231117,-0.86,-0.75
TWST,20240202,-0.77,-0.75
TWST,20240502,-0.81,-0.79
TWST,20240802,-0.77,-0.7
TWST,20241118,-0.7,-0.59
TWST,20250203,-0.63,-0.53
TWST,20250505,-0.56,-0.66
BBD,20200205,0.15,0.15
BBD,20200430,0.12,0.06
BBD,20200730,0.07,0.07
BBD,20201029,0.08,0.08
BBD,20210202,0.1,0.12
BBD,20210504,0.11,0.12
BBD,20210803,0.11,0.11
BBD,20211104,0.11,0.11
BBD,20220207,0.12,0.12
BBD,20220505,0.12,0.13
BBD,20220803,0.13,0.12
BBD,20221108,0.12,0.1
BBD,20230209,0.08,0.03
BBD,20230503,0.06,0.08
BBD,20230802,0.09,0.09
BBD,20231108,0.09,0.07
BBD,20240207,0.1,0.08
BBD,20240502,0.08,0.08
BBD,20240805,0.08,0.07
BBD,20241031,0.09,0.08
BBD,20250207,0.08,0.09
BBD,20250507,0.09,0.1
BBD,20250730,0.1,0.11
FNKO,20200305,0.16,0.18
FNKO,20200507,-0.07,-0.04
FNKO,20200806,-0.41,-0.2
FNKO,20201105,0.1,0.31
FNKO,20210311,0.14,0.29
FNKO,20210506,0.11,0.24
FNKO,20210805,0.18,0.4
FNKO,20211104,0.27,0.39
FNKO,20220303,0.24,0.38
FNKO,20220505,0.22,0.34
FNKO,20220804,0.23,0.26
FNKO,20221103,0.5,0.28
FNKO,20230301,-0.11,-0.35
FNKO,20230504,-0.92,-0.49
FNKO,20230803,-0.4,-0.43
FNKO,20231102,-0.05,0.03
FNKO,20240307,-0.02,0.01
FNKO,20240509,-0.29,-0.17
FNKO,20240808,-0.14,0.1
FNKO,20241107,0.04,0.14
FNKO,20250508,-0.43,-0.33
NVCR,20200430,0.03,0.04
NVCR,20200730,0.01,0.02
NVCR,20201029,0.04,0.09
NVCR,20210225,0.13,0.05
NVCR,20210429,0.01,-0.04
NVCR,20210729,0.01,-0.14
NVCR,20211028,-0.06,-0.13
NVCR,20220224,-0.1,-0.25
NVCR,20220428,-0.19,-0.04
NVCR,20220728,-0.14,-0.23
NVCR,20221027,-0.26,-0.25
NVCR,20230223,-0.31,-0.36
NVCR,20230504,-0.34,-0.5
NVCR,20230727,-0.5,-0.54
NVCR,20231026,-0.52,-0.46
NVCR,20240222,-0.52,-0.45
NVCR,20240502,-0.42,-0.36
NVCR,20240725,-0.4,-0.31
NVCR,20241030,-0.33,-0.28
NVCR,20250227,-0.34,-0.61
NVCR,20250424,-0.46,-0.31
NVCR,20250724,-0.39,-0.36
BBU,20200206,0.47,0.67
BBU,20200508,0.4,-0.48
BBU,20200807,-0.07,-0.21
BBU,20201103,0.61,-0.02
BBU,20210205,0.99,0.27
BBU,20210505,-0.26,-5.35
BBU,20210806,0.11,-0.3
BBU,20211105,-0.69,0.39
BBU,20220204,0.4,1.6
BBU,20220513,0.14,0.18
BBU,20220805,0.02,-0.38
BBU,20221107,-0.05,-0.42
BBU,20230203,-0.09,0.04
BBU,20230509,-0.08,1.18
BBU,20231103,-0.46,-0.16
BBU,20240301,6.42,-15.25
BBU,20240507,-1.58,2.93
BBU,20240802,-0.02,0.13
BBU,20241108,0.1,-3.51
BBU,20250131,0.13,-0.54
BBU,20250506,0.07,0.2
BBU,20250801,0.24,0.56
SCOR,20200227,-2.7,-2.41
SCOR,20200507,-2.4,-1.66
SCOR,20200810,-2.2,-0.78
SCOR,20201109,-1.1,-1.66
SCOR,20210310,-0.9,-1.55
SCOR,20210506,-1.7,-1.84
SCOR,20210809,-0.13,-0.64
SCOR,20211108,-0.2,1.36
SCOR,20220228,0.75,2.04
SCOR,20220510,0.27,-0.01
SCOR,20220809,0.2,-2.12
SCOR,20221108,0.8,-0.85
SCOR,20230228,1.5,1.54
SCOR,20230509,0.87,-1.13
SCOR,20230808,0.7,-0.16
SCOR,20231106,1.4,0.2
SCOR,20240306,1.9,1.03
SCOR,20240507,0.7,-0.57
SCOR,20240806,0.97,-0.84
SCOR,20241112,0.57,-0.44
SCOR,20250304,1.46,0.95
SCOR,20250506,0.57,-1.27
BBW,20200311,0.28,0.4
BBW,20200602,-0.46,-0.83
BBW,20200831,-1.01,-0.82
BBW,20201203,-0.04,0.11
BBW,20210310,0.16,0.47
BBW,20210526,-0.53,0.6
BBW,20210826,-0.2,0.43
BBW,20211201,-0.17,0.38
BBW,20220310,0.92,0.97
BBW,20220526,0.66,0.89
BBW,20220901,0.45,0.38
BBW,20221130,0.38,0.51
BBW,20230309,1.12,1.3
BBW,20230525,1.01,0.98
BBW,20230824,0.41,0.57
BBW,20231130,0.51,0.53
BBW,20240314,1.32,1.34
BBW,20240530,0.95,0.82
BBW,20240829,0.57,0.64
BBW,20241205,0.7,0.73
BBW,20250313,1.5,1.59
BBW,20250529,0.87,1.17
BBY,20200227,2.76,2.9
BBY,20200521,0.41,0.67
BBY,20200825,1.09,1.71
BBY,20201124,1.72,2.06
BBY,20210225,3.45,3.48
BBY,20210527,1.41,2.23
BBY,20210824,1.89,2.98
BBY,20211123,1.97,2.08
BBY,20220303,2.71,2.73
BBY,20220524,1.55,1.57
BBY,20220830,1.29,1.54
BBY,20221122,1.02,1.38
BBY,20230302,2.14,2.61
BBY,20230525,1.09,1.15
BBY,20230829,1.07,1.22
BBY,20231121,1.2,1.29
BBY,20240229,2.5,2.72
BBY,20240530,1.07,1.2
BBY,20240829,1.16,1.34
BBY,20241126,1.29,1.26
BBY,20250304,2.39,0.54
BBY,20250529,1.1,1.15
NVCT,20220322,-0.85,-0.48
NVCT,20220512,-0.22,-0.32
NVCT,20220810,-0.24,-0.28
NVCT,20221108,-0.27,-0.42
NVCT,20230308,-0.39,-0.48
NVCT,20230510,-0.45,-0.27
NVCT,20230809,-0.21,-0.38
NVCT,20231108,-0.34,-0.37
NVCT,20240305,-0.39,-0.41
NVCT,20240507,-0.39,-0.25
NVCT,20240806,-0.31,-0.26
NVCT,20241105,-0.25,-0.24
NVCT,20250225,-0.25,-0.36
NVCT,20250506,-0.25,-0.27
BCC,20200224,0.19,0.37
BCC,20200507,0.46,0.39
BCC,20200731,0.46,0.86
BCC,20201030,1.86,2.88
BCC,20210222,1.08,0.65
BCC,20210506,2.46,3.76
BCC,20210802,4.42,7.62
BCC,20211101,2.16,2.31
BCC,20220222,2.25,4.26
BCC,20220505,6.71,7.61
BCC,20220801,4.71,5.49
BCC,20221031,4.13,5.52
BCC,20230221,2.92,2.95
BCC,20230504,1.63,2.43
BCC,20230731,2.42,3.67
BCC,20231030,3.36,3.58
BCC,20240220,2.51,2.44
BCC,20240506,2.28,2.61
BCC,20240805,2.69,2.84
BCC,20241104,2.33,2.33
BCC,20250220,1.78,1.78
BCC,20250505,1.29,1.06
BCE,20200206,0.89,0.88
BCE,20200507,0.75,0.8
BCE,20200806,0.69,0.63
